"Manu","Model","Yearmanu","NO-SEATS","SPEED","MODEL","TYPE-ACFT"
"HAWKER BEECHCRAFT CORPORATION","B200","2007","011"
"HAWKER BEECHCRAFT CORPORATION","B200","2007","015"
"HAWKER BEECHCRAFT CORPORATION","B200","2007","011"
"RAYTHEON AIRCRAFT COMPANY","B200","2007","011"
"RAYTHEON AIRCRAFT COMPANY","B200","2007","015"
"RAYTHEON AIRCRAFT COMPANY","B200","2007","011"
"TEXTRON AVIATION INC.","B300C","2016","019"
"TEXTRON AVIATION INC.","B300C","2016","018"
"TEXTRON AVIATION INC.","B300C","2016","010"
"TEXTRON AVIATION INC.","B300C","2016","019"
"TEXTRON AVIATION INC.","B300C","2016","018"
"TEXTRON AVIATION INC.","B300C","2016","010"
"PILATUS AIRCRAFT LTD","PC-12/45","2000","012"
"TEXTRON AVIATION INC.","B300C","2015","019"
"TEXTRON AVIATION INC.","B300C","2015","018"
"TEXTRON AVIATION INC.","B300C","2015","010"
"HAWKER BEECHCRAFT CORPORATION","B200","2009","011"
"HAWKER BEECHCRAFT CORPORATION","B200","2009","015"
"HAWKER BEECHCRAFT CORPORATION","B200","2009","011"
"HAWKER BEECHCRAFT CORPORATION","B200C","2010","011"
"HAWKER BEECHCRAFT CORPORATION","B200C","2010","015"
"PILATUS AIRCRAFT LTD","PC-12/45","2003","012"
"BEECHCRAFT CORPORATION","B200","2014","011"
"BEECHCRAFT CORPORATION","B200","2014","015"
"BEECHCRAFT CORPORATION","B200","2014","011"
"HAWKER BEECHCRAFT CORPORATION","B200C","2010","011"
"HAWKER BEECHCRAFT CORPORATION","B200C","2010","015"
"BEECHCRAFT CORPORATION","B300C","2014","019"
"BEECHCRAFT CORPORATION","B300C","2014","018"
"BEECHCRAFT CORPORATION","B300C","2014","010"
"BEECHCRAFT CORPORATION","B200","2014","011"
"BEECHCRAFT CORPORATION","B200","2014","015"
"BEECHCRAFT CORPORATION","B200","2014","011"
"PILATUS AIRCRAFT LTD","PC-12/45","2001","012"
"PIPER AIRCRAFT CORP","PA-31-350","1976","008"
"RAYTHEON AIRCRAFT COMPANY","B200","2004","011"
"RAYTHEON AIRCRAFT COMPANY","B200","2004","015"
"RAYTHEON AIRCRAFT COMPANY","B200","2004","011"
"HAWKER BEECHCRAFT CORPORATION","B200C","2010","011"
"HAWKER BEECHCRAFT CORPORATION","B200C","2010","015"
"HAWKER BEECHCRAFT CORPORATION","B200","2007","011"
"HAWKER BEECHCRAFT CORPORATION","B200","2007","015"
"HAWKER BEECHCRAFT CORPORATION","B200","2007","011"
"BEECH AIRCRAFT CORP","65","1966","009"
"BEECH AIRCRAFT CORP","65","1966","012"
"RAYTHEON AIRCRAFT COMPANY","B200","2004","011"
"RAYTHEON AIRCRAFT COMPANY","B200","2004","015"
"RAYTHEON AIRCRAFT COMPANY","B200","2004","011"
"BEECH AIRCRAFT CORP","B95","1960","005"
"RAYTHEON AIRCRAFT COMPANY","B200","2004","011"
"RAYTHEON AIRCRAFT COMPANY","B200","2004","015"
